Id,ParticipantId,EventId,Active
9,96,3,1
10,97,3,1
11,99,3,1
12,100,3,1
13,101,3,1
14,102,3,1
15,103,3,1
16,104,3,1
17,105,3,1
18,106,3,1
19,107,3,1
20,108,3,1
21,109,3,1
73,10,6,1
74,71,6,1
75,73,6,1
76,77,6,1
77,81,6,1
78,85,6,1
79,86,6,1
80,6,5,1
81,68,5,1
82,67,5,1
83,65,5,1
84,64,5,1
85,50,5,1
86,47,5,1
88,46,5,1
89,42,5,1
90,41,5,1
91,40,5,1
92,39,5,1
93,38,5,1
94,36,5,1
95,44,5,1
96,124,5,1
97,111,5,1
98,8,9,1
99,71,9,1
100,75,9,1
101,76,9,1
102,90,9,1
103,73,9,1
104,85,9,1
105,86,9,1
106,126,9,1
107,74,9,1
108,81,9,1
109,38,10,1
110,39,10,1
111,40,10,1
112,42,10,1
113,64,10,1
114,65,10,1
115,67,10,1
116,68,10,1
117,112,10,1
118,124,10,1
119,127,10,1
120,128,10,1
121,129,10,1
122,130,10,1
123,7,8,1
124,30,8,1
133,3,11,1
134,34,11,1
135,121,11,1
136,122,11,1
137,123,11,1
138,133,11,1
139,134,11,1
140,138,14,1
141,137,14,1
142,108,14,1
143,100,14,1
144,106,14,1
145,136,14,1
146,101,14,1
147,97,14,1
148,107,14,1
149,96,14,1
150,104,14,1
151,109,14,1
152,105,14,1
153,99,14,1
154,103,14,1
155,19,12,1
156,13,12,1
157,14,12,1
158,17,12,1
159,4,12,1
160,5,12,1
161,3,12,1
162,23,12,1
163,63,13,1
164,44,13,1
165,68,13,1
166,124,13,1
167,112,13,1
168,128,13,1
169,127,13,1
170,6,13,1
171,46,13,1
172,41,13,1
173,67,13,1
174,48,13,1
175,47,13,1
176,36,13,1
177,39,13,1
178,111,13,1
179,40,13,1
180,115,13,1
181,130,13,1
182,50,13,1
183,38,13,1
184,93,15,1
185,73,15,1
186,74,15,1
187,10,15,1
188,71,15,1
189,72,15,1
190,64,13,1
191,139,13,1
192,140,13,1
193,141,13,1
194,142,12,1
195,133,12,1
196,134,12,1
197,34,12,1
198,32,16,1
199,144,16,1
200,122,16,1
201,133,16,1
202,20,16,1
203,145,16,1
204,146,16,1
205,7,16,1
206,34,16,1
207,30,16,1
208,143,16,1
209,36,18,1
210,147,18,1
211,8,18,1
212,95,18,1
213,90,18,1
214,73,18,1
215,75,18,1
216,74,18,1
217,10,18,1
218,71,18,1
219,72,18,1
220,148,18,1
221,77,18,1
222,130,17,1
223,115,17,1
224,40,17,1
225,39,17,1
226,67,17,1
227,42,17,1
228,129,17,1
229,127,17,1
230,128,17,1
231,112,17,1
232,124,17,1
233,68,17,1
234,38,17,1
235,139,17,1
236,13,19,1
237,17,19,1
238,12,19,1
239,108,20,1
240,100,20,1
241,106,20,1
242,149,20,1
243,150,20,1
244,97,20,1
245,107,20,1
246,96,20,1
247,105,20,1
248,103,20,1
249,130,22,1
250,40,22,1
251,39,22,1
252,36,22,1
253,50,22,1
254,67,22,1
255,42,22,1
256,65,22,1
257,6,22,1
258,124,22,1
259,68,22,1
260,44,22,1
261,38,22,1
